Bin	Name	Source Path	Color	GFX-Video Level	Field Ordering	LensModelName	InitializedDate	ProavIdRef	serialNo	modelName	manufacturer	CreationDate	Video Bitrate	Shutter Speed Time	Shutter Speed Angle	Iris F	White Balance	White Balance Mode	Foc. Pos. fr. Image Plane	EI	Exposure Mode	Capture FPS	Capture Gamma Equation	lens_name	Lens Mount	Audio Format	User TC Pref	User Action Guide Width	User Action Guide Topleft Y	User Action Guide Topleft X	User Action Guide Height	User Action Guide Enabled	Shutter fraction	Shutter degree	Sensor OLPF Name	Sensor OLPF Interchangeable	Sensor Name	Sensor ID	Resolution Format Name	Reel ID Full	Reel ID 8 Character	REDCODE	record_framerate_numerator	record_framerate_denominator	Record Framerate	Original Filename	monitor_sharpness	Media Serial Number	TimeStamp	Lens Aperture Units	Jamsync setting	iso_calibration_version	FrameWidth	FrameHeight	HDR Mode	GMT Time	GMT Date	Genlock setting	Frame Guide Width	Frame Guide Topleft Y	Frame Guide Topleft X	Frame Guide Height	Frame Guide Enabled	flip_vertical	flip_horizontal	Exposure time	exposure_adjust	Dropped Frame Count	clip_uuid	Clip	clip_default_color_version	camera_rotation_z	camera_rotation_y	camera_rotation_x	camera_position	Camera PIN	Camera Network Name	Camera Model ID	Camera Model	Camera firmware version	Camera Firmware Revision	camera_acceleration_z	camera_acceleration_y	camera_acceleration_x	Anamorphic Mode	Resolution	Filename	Original_End	Original_Start	Blue White Y	Blue White X	Blue Knee Y	Blue Knee X	Blue Mid Y	Blue Mid X	Blue Toe Y	Blue Toe X	Blue Black Y	Blue Black X	Green White Y	Green White X	Green Knee Y	Green Knee X	Green Mid Y	Green Mid X	Green Toe Y	Green Toe X	Green Black Y	Green Black X	Red White Y	Red White X	Red Knee Y	Red Knee X	Red Mid Y	Red Mid X	Red Toe Y	Red Toe X	Red Black Y	Red Black X	LGG Blue Gain	LGG Blue Gamma	LGG Blue Lift	LGG Green Gain	LGG Green Gamma	LGG Green Lift	LGG Red Gain	LGG Red Gamma	LGG Red Lift	Shadow	FLUT	Chroma Denoise	OLPF	Debayer detail	GammaSpace	ColorSpace	DRX	Tint	Kelvin	White Y	White X	Knee Y	Knee X	Mid Y	Mid X	Toe Y	Toe X	Black Y	Black X	Saturation	Exposure	GainRed	GainGreen	GainBlue	Contrast	Brightness	ISO	Source Setting	Clip ID	Comments	Image Size	Raster Dimension	Image Framing	Vendor Download Master	Vendor Invoice ID	Vendor Asset Status	Vendor Asset Keywords	Vendor Asset Description	Vendor Original Master	Vendor Asset Price	Vendor Asset Rights	Vendor Asset Name	Vendor Asset ID	Vendor URL	Vendor Name	Marker	S3D Alignment	S3D Eye Order	S3D InversionR	S3D Inversion	S3D Clip Name	S3D Group Name	S3D Channel	S3D Leading Eye	S3D Contributors	Color Transformation	Ancillary Data	Media File Path	Reformat	Pixel Aspect Ratio	Image Aspect Ratio	Chroma Subsampling	Color Space	Track Formats	Field Motion	AFD	Auxiliary TC5	ASC_SAT	ASC_SOP	IDataLink	Production	Journalist	Disk Label	TC 30NP	UNC Path	Transfer	Master Start	Master Film	Master End	Master Edge	Master Dur	LUT	KN Film	Ink Film	Ink Edge	Ink End	Frame Count Duration	Frame Count End	Frame Count Start	Ink Dur	VFX Reel	VFX	DPX	AuxInk Film	AuxInk End	AuxInk Edge	AuxInk Dur	Format	Video File Format	Aux TC 24	Cadence	TC 25PD	Audio Bit Depth	Audio File Format	TC 30	TC 24	TC 25	Modified Date	Audio SR	TapeID	Lock	Slip	Camera	Reel	Labroll	Shoot Date	Camroll	Auxiliary TC1	Soundroll	Reel #	Take	VITC	Scene	Plug-in	Video	Tape	Start	Sound TC	Tracks	Offline	Pullout	Project	Pullin	Auxiliary TC4	Mark OUT	KN Start	KN IN-OUT	KN Mark OUT	KN Dur	Mark IN	KN Mark IN	Perf	KN End	Film TC	IN-OUT	FPS	Auxiliary Ink	End	Ink Number	Drive	Duration	Creation Date	Auxiliary TC2	Frame	CFPS	Media Status	Auxiliary TC3	Source File	
OWEN FOR RESOLVE	BRAUNAU AM INN MAP MADE BY CHATGPT.png	Z:\STILLS\	   																																																																																																																																																													1920 x 1080	1920x1080p														   	NONE						MONO						Stretch	1.000	16:9	4:2:2	Rec.709 [video levels]		Progressive										Z:\STILLS\BRAUNAU AM INN MAP MADE BY CHATGPT.png												750	749	0									1080p/25			None							15/04/2025 13:52:46			   														DNxHD LB (HD1080p)		01:00:00:00		V1	V1		BLINK_WWII_DECODED_EDIT01							  46+14							25.00		01:00:30:00		BLINK_WW2 DECODED_RENDER (T:)	00:00:30:00	15/04/2025 13:52:45			25.00			BRAUNAU AM INN MAP MADE BY CHATGPT.png	
OWEN FOR RESOLVE	WW2D_ARC_903_M_POND5_202901291.new.01	Z:\RECON\ROSNEGREN RECON\	   																																																																																																																																																													1920 x 1080	1920x1080p														   	NONE						MONO						Pillarbox/Letterbox	1.000	16:9	4:2:2	Rec.709 [video levels]		Progressive																						205	204	0									1080p/23.976			None							01/04/2025 10:33:40			   														DNxHR LB (1920x1080)		00:00:32:12		V1	V1		BLINK_WWII_DECODED_EDIT01							  12+13							23.98		00:00:41:01		BLINK_WW2 DECODED_RENDER (T:)	00:00:08:13	01/04/2025 10:33:38			23.98			WW2D_ARC_903_M_POND5_202901291.mov	
OWEN FOR RESOLVE	He was always convinced that he was right. He would talk for hours, heatedly, passionately, often violently, and I would listen, completely under his spell..jpg	Z:\GFX\TEXT GFX\	   																																																																																																																																																													1920 x 1080	1920x1080p														   	NONE						MONO						Stretch	1.000	16:9	4:2:2	Rec.709 [video levels]		Progressive										Z:\GFX\TEXT GFX\He was always convinced that he was right. He would talk for hours, heatedly, passionately, often violently, and I would listen, completely under his spell..jpg												750	749	0									1080p/25			None							15/05/2025 11:48:16			   														DNxHD LB (HD1080p)		01:00:00:00		V1	V1		BLINK_WWII_DECODED_EDIT01							  46+14							25.00		01:00:30:00		BLINK_WW2 DECODED_RENDER (T:)	00:00:30:00	15/05/2025 11:48:16			25.00			He was always convinced that he was right. He would talk for hours, heatedly, passionately, often violently, and I would listen, completely under his spell..jpg	
OWEN FOR RESOLVE	Overview of Illumina Polygenic Risk Score Solution.new.01	Z:\GFX\TEMP\	   																																																																																																																																																													1920 x 1080	1920x1080p														   	NONE						MONO						Pillarbox/Letterbox	1.000	16:9	4:2:2	Rec.709 [video levels]		Progressive																						3010	3009	0									1080p/23.976			None		24	PCM				03/06/2025 14:15:09	48000		   														DNxHR LB (1920x1080)		00:00:00:00		V1 A1-2	V1 A1-2		BLINK_WWII_DECODED_EDIT01							 188+02	00:00:22:00						23.98		00:02:05:10		BLINK_WW2 DECODED_RENDER (T:)	00:02:05:10	22/05/2025 17:15:24			23.98			Overview of Illumina Polygenic Risk Score Solution.mp4	
OWEN FOR RESOLVE	WW2D_POLY_AUTISM_Overplinth_v01.new.01	Z:\GFX\FROM TIM VARLOW\2025_05_20\	Other																																																																																																																																																													1920 x 1080	1920x1080p														   	NONE						MONO						Pillarbox/Letterbox	1.000	16:9	4:4:4	Rec.709 [video levels]		Progressive																						347	346	0									1080p/25			None		24	PCM				04/06/2025 17:23:13	48000		   														Apple ProRes 4444 (HD1080p)		00:00:00:00		V1 A1-2	V1 A1-2		BLINK_WWII_DECODED_EDIT01							  21+11							25.00		00:00:13:22		BLINK_WW2 DECODED_RENDER (T:)	00:00:13:22	20/05/2025 20:32:25			25.00			WW2D_POLY_AUTISM_Overplinth_v01.mov	
OWEN FOR RESOLVE	WW2D_POLY_ADHD_Overplinth_v01.new.01	Z:\GFX\FROM TIM VARLOW\2025_05_20\	   																																																																																																																																																													1920 x 1080	1920x1080p														   	NONE						MONO						Pillarbox/Letterbox	1.000	16:9	4:4:4	Rec.709 [video levels]		Progressive																						347	346	0									1080p/25			None		24	PCM				04/06/2025 17:23:13	48000		   														Apple ProRes 4444 (HD1080p)		00:00:00:00		V1 A1-2	V1 A1-2		BLINK_WWII_DECODED_EDIT01							  21+11							25.00		00:00:13:22		BLINK_WW2 DECODED_RENDER (T:)	00:00:13:22	20/05/2025 20:31:30			25.00			WW2D_POLY_ADHD_Overplinth_v01.mov	
OWEN FOR RESOLVE	WW2D_DNA_SCAN_v01.new.01	Z:\GFX\FROM TIM VARLOW\2025_05_20\	Other																																																																																																																																																													1920 x 1080	1920x1080p														   	NONE						MONO						Pillarbox/Letterbox	1.000	16:9	4:4:4	Rec.709 [video levels]		Progressive																						275	274	0									1080p/25			None		24	PCM				04/06/2025 17:23:13	48000		   														Apple ProRes 4444 (HD1080p)		00:00:01:00		V1 A1-2	V1 A1-2		BLINK_WWII_DECODED_EDIT01							  17+03	00:00:08:10						25.00		00:00:12:00		BLINK_WW2 DECODED_RENDER (T:)	00:00:11:00	20/05/2025 20:36:55			25.00			WW2D_DNA_SCAN_v01.mov	
OWEN FOR RESOLVE	WW2D_DNA_SCAN_TOP_v01.new.01	Z:\GFX\FROM TIM VARLOW\2025_05_20\	   																																																																																																																																																													1920 x 1080	1920x1080p														   	NONE						MONO						Pillarbox/Letterbox	1.000	16:9	4:4:4	Rec.709 [video levels]		Progressive																						176	175	0									1080p/25			None							04/06/2025 17:23:13			   														Apple ProRes 4444 (HD1080p)		00:00:00:00		V1	V1		BLINK_WWII_DECODED_EDIT01							  11+00							25.00		00:00:07:01		BLINK_WW2 DECODED_RENDER (T:)	00:00:07:01	20/05/2025 21:31:24			25.00			WW2D_DNA_SCAN_TOP_v01.mov	
OWEN FOR RESOLVE	WW2D_GFX_CHROMOSOME_MATCH_v02.new.01.Sub.01	Z:\GFX\FROM TIM VARLOW\	   																																																																																																																																																													1920 x 1080	1920x1080p														   	NONE						MONO						Pillarbox/Letterbox	1.000	16:9	4:2:2	[video levels]		Progressive																						85	84	0									1080p/25			None		24	PCM				24/05/2025 17:17:50	48000		   	0													DNxHR LB (1920x1080)		00:00:58:24		V1 A1-2	V1 A1-2		BLINK_WWII_DECODED_EDIT01							   5+05							25.00		00:01:02:09		BLINK_WW2 DECODED_RENDER (T:)	00:00:03:10	16/05/2025 19:12:27			25.00			WW2D_GFX_CHROMOSOME_MATCH_v02.mp4	
OWEN FOR RESOLVE	WW2D_GFX_CHROMOSOME_MATCH_v02.new.01	Z:\GFX\FROM TIM VARLOW\	   																																																																																																																																																													1920 x 1080	1920x1080p														   	NONE						MONO						Pillarbox/Letterbox	1.000	16:9	4:2:2	[video levels]		Progressive																						1699	1698	0									1080p/25			None		24	PCM				04/06/2025 17:23:13	48000		   														DNxHR LB (1920x1080)		00:00:00:00		V1 A1-2	V1 A1-2		BLINK_WWII_DECODED_EDIT01			00:01:02:09		   5+05		 106+03	00:00:58:24					       3:10	25.00		00:01:07:24		BLINK_WW2 DECODED_RENDER (T:)	00:01:07:24	16/05/2025 19:11:22			25.00			WW2D_GFX_CHROMOSOME_MATCH_v02.mp4	
